sample-id	community-number	community-name	chem-code	Amoxicillin	Chlorothalonil	Diflufenican	Glyphosate	Imidacloprid	Metaldehyde	Oxytetracycline	Tebuconazole	complexity	well	plate
c07w6F2	7	R_ID_7.16_7_R1(1)_TSS	I	0	0	0	0	1	0	0	0	1	F2	6
c07w7F10	7	R_ID_7.16_7_R1(1)_TSS	ADIO	1	0	1	0	1	0	1	0	4	F10	7
c08w1B2	8	R_ID_7.16_8_R5(1)_TSS	A	1	0	0	0	0	0	0	0	1	B2	1
c08w1D2	8	R_ID_7.16_8_R5(1)_TSS	D	0	0	1	0	0	0	0	0	1	D2	1
c08w1F5	8	R_ID_7.16_8_R5(1)_TSS	DI	0	0	1	0	1	0	0	0	2	F5	1
c08w11D7	8	R_ID_7.16_8_R5(1)_TSS	IT	0	0	0	0	1	0	0	1	2	D7	11
c08w11E2	8	R_ID_7.16_8_R5(1)_TSS	G	0	0	0	1	0	0	0	0	1	E2	11
c08w11E6	8	R_ID_7.16_8_R5(1)_TSS	GM	0	0	0	1	0	1	0	0	2	E6	11
c08w11F7	8	R_ID_7.16_8_R5(1)_TSS	MT	0	0	0	0	0	1	0	1	2	F7	11
c08w12G7	8	R_ID_7.16_8_R5(1)_TSS	ACDO	1	1	1	0	0	0	1	0	4	G7	12
c08w16B3	8	R_ID_7.16_8_R5(1)_TSS	O	0	0	0	0	0	0	1	0	1	B3	16
c08w16E3	8	R_ID_7.16_8_R5(1)_TSS	AD	1	0	1	0	0	0	0	0	2	E3	16
c08w16F2	8	R_ID_7.16_8_R5(1)_TSS	I	0	0	0	0	1	0	0	0	1	F2	16
c08w16F5	8	R_ID_7.16_8_R5(1)_TSS	DI	0	0	1	0	1	0	0	0	2	F5	16
c08w16G2	8	R_ID_7.16_8_R5(1)_TSS	M	0	0	0	0	0	1	0	0	1	G2	16
c08w17F10	8	R_ID_7.16_8_R5(1)_TSS	ADIO	1	0	1	0	1	0	1	0	4	F10	17
c08w2F10	8	R_ID_7.16_8_R5(1)_TSS	ADIO	1	0	1	0	1	0	1	0	4	F10	2
c08w3E5	8	R_ID_7.16_8_R5(1)_TSS	CGMT	0	1	0	1	0	1	0	1	4	E5	3
c08w5D5	8	R_ID_7.16_8_R5(1)_TSS		0	0	0	0	0	0	0	0	0	D5	5
c08w6C4	8	R_ID_7.16_8_R5(1)_TSS	AO	1	0	0	0	0	0	1	0	2	C4	6
c08w6C5	8	R_ID_7.16_8_R5(1)_TSS	CO	0	1	0	0	0	0	1	0	2	C5	6
c08w6D2	8	R_ID_7.16_8_R5(1)_TSS	D	0	0	1	0	0	0	0	0	1	D2	6
c08w6E6	8	R_ID_7.16_8_R5(1)_TSS	GM	0	0	0	1	0	1	0	0	2	E6	6
c08w6F4	8	R_ID_7.16_8_R5(1)_TSS	CG	0	1	0	1	0	0	0	0	2	F4	6
c08w8D8	8	R_ID_7.16_8_R5(1)_TSS	GIMT	0	0	0	1	1	1	0	1	4	D8	8
c08w1C3	8	R_ID_7.16_8_R5(1)_TSS	T	0	0	0	0	0	0	0	1	1	C3	1
c08w1E3	8	R_ID_7.16_8_R5(1)_TSS	AD	1	0	1	0	0	0	0	0	2	E3	1
c08w1G2	8	R_ID_7.16_8_R5(1)_TSS	M	0	0	0	0	0	1	0	0	1	G2	1
c08w11B3	8	R_ID_7.16_8_R5(1)_TSS	O	0	0	0	0	0	0	1	0	1	B3	11
c08w11C2	8	R_ID_7.16_8_R5(1)_TSS	C	0	1	0	0	0	0	0	0	1	C2	11
c08w11C5	8	R_ID_7.16_8_R5(1)_TSS	CO	0	1	0	0	0	0	1	0	2	C5	11
c08w13D8	8	R_ID_7.16_8_R5(1)_TSS	GIMT	0	0	0	1	1	1	0	1	4	D8	13
c08w16C4	8	R_ID_7.16_8_R5(1)_TSS	AO	1	0	0	0	0	0	1	0	2	C4	16
c08w16D7	8	R_ID_7.16_8_R5(1)_TSS	IT	0	0	0	0	1	0	0	1	2	D7	16
c08w16F4	8	R_ID_7.16_8_R5(1)_TSS	CG	0	1	0	1	0	0	0	0	2	F4	16
c08w17G7	8	R_ID_7.16_8_R5(1)_TSS	ACDO	1	1	1	0	0	0	1	0	4	G7	17
c08w20D5	8	R_ID_7.16_8_R5(1)_TSS		0	0	0	0	0	0	0	0	0	D5	20
c08w6B2	8	R_ID_7.16_8_R5(1)_TSS	A	1	0	0	0	0	0	0	0	1	B2	6
c08w6E2	8	R_ID_7.16_8_R5(1)_TSS	G	0	0	0	1	0	0	0	0	1	E2	6
c08w6F2	8	R_ID_7.16_8_R5(1)_TSS	I	0	0	0	0	1	0	0	0	1	F2	6
c08w6F7	8	R_ID_7.16_8_R5(1)_TSS	MT	0	0	0	0	0	1	0	1	2	F7	6
c08w8E5	8	R_ID_7.16_8_R5(1)_TSS	CGMT	0	1	0	1	0	1	0	1	4	E5	8
c09w000	9	R_ID_7.16_9_R1(1)_TSS	Frozen Starting Community	NA	NA	NA	NA	NA	NA	NA	NA	NA	00	0
c09w1B2	9	R_ID_7.16_9_R1(1)_TSS	A	1	0	0	0	0	0	0	0	1	B2	1
c09w1B5	9	R_ID_7.16_9_R1(1)_TSS	CM	0	1	0	0	0	1	0	0	2	B5	1
c09w1E3	9	R_ID_7.16_9_R1(1)_TSS	AD	1	0	1	0	0	0	0	0	2	E3	1
c09w1G2	9	R_ID_7.16_9_R1(1)_TSS	M	0	0	0	0	0	1	0	0	1	G2	1
c09w11D2	9	R_ID_7.16_9_R1(1)_TSS	D	0	0	1	0	0	0	0	0	1	D2	11
c09w11E2	9	R_ID_7.16_9_R1(1)_TSS	G	0	0	0	1	0	0	0	0	1	E2	11
c09w16D2	9	R_ID_7.16_9_R1(1)_TSS	D	0	0	1	0	0	0	0	0	1	D2	16
c09w16E2	9	R_ID_7.16_9_R1(1)_TSS	G	0	0	0	1	0	0	0	0	1	E2	16
c09w16F2	9	R_ID_7.16_9_R1(1)_TSS	I	0	0	0	0	1	0	0	0	1	F2	16
c09w6C3	9	R_ID_7.16_9_R1(1)_TSS	T	0	0	0	0	0	0	0	1	1	C3	6
c09w6C6	9	R_ID_7.16_9_R1(1)_TSS	DT	0	0	1	0	0	0	0	1	2	C6	6
c09w6E3	9	R_ID_7.16_9_R1(1)_TSS	AD	1	0	1	0	0	0	0	0	2	E3	6
c09w6G3	9	R_ID_7.16_9_R1(1)_TSS	AI	1	0	0	0	1	0	0	0	2	G3	6
c09w8F3	9	R_ID_7.16_9_R1(1)_TSS	CDGT	0	1	1	1	0	0	0	1	4	F3	8
c09w1F4	9	R_ID_7.16_9_R1(1)_TSS	CG	0	1	0	1	0	0	0	0	2	F4	1
c09w1G6	9	R_ID_7.16_9_R1(1)_TSS	GT	0	0	0	1	0	0	0	1	2	G6	1
c09w11B2	9	R_ID_7.16_9_R1(1)_TSS	A	1	0	0	0	0	0	0	0	1	B2	11
c09w11B3	9	R_ID_7.16_9_R1(1)_TSS	O	0	0	0	0	0	0	1	0	1	B3	11
c09w11B5	9	R_ID_7.16_9_R1(1)_TSS	CM	0	1	0	0	0	1	0	0	2	B5	11
c09w11C3	9	R_ID_7.16_9_R1(1)_TSS	T	0	0	0	0	0	0	0	1	1	C3	11
c09w11C7	9	R_ID_7.16_9_R1(1)_TSS	IO	0	0	0	0	1	0	1	0	2	C7	11
c09w11E7	9	R_ID_7.16_9_R1(1)_TSS	MO	0	0	0	0	0	1	1	0	2	E7	11
c09w11F2	9	R_ID_7.16_9_R1(1)_TSS	I	0	0	0	0	1	0	0	0	1	F2	11
c09w11F4	9	R_ID_7.16_9_R1(1)_TSS	CG	0	1	0	1	0	0	0	0	2	F4	11
c09w15C7	9	R_ID_7.16_9_R1(1)_TSS		0	0	0	0	0	0	0	0	0	C7	15
c09w11G3	9	R_ID_7.16_9_R1(1)_TSS	AI	1	0	0	0	1	0	0	0	2	G3	11
c09w13E2	9	R_ID_7.16_9_R1(1)_TSS	AIMO	1	0	0	0	1	1	1	0	4	E2	13
c09w15D4	9	R_ID_7.16_9_R1(1)_TSS	ACDGIMOT	1	1	1	1	1	1	1	1	8	D4	15
c09w16C2	9	R_ID_7.16_9_R1(1)_TSS	C	0	1	0	0	0	0	0	0	1	C2	16
c09w16C6	9	R_ID_7.16_9_R1(1)_TSS	DT	0	0	1	0	0	0	0	1	2	C6	16
c09w16C7	9	R_ID_7.16_9_R1(1)_TSS	IO	0	0	0	0	1	0	1	0	2	C7	16
c09w16G6	9	R_ID_7.16_9_R1(1)_TSS	GT	0	0	0	1	0	0	0	1	2	G6	16
c09w17F7	9	R_ID_7.16_9_R1(1)_TSS	ACDM	1	1	1	0	0	1	0	0	4	F7	17
c09w18F3	9	R_ID_7.16_9_R1(1)_TSS	CDGT	0	1	1	1	0	0	0	1	4	F3	18
c09w2F7	9	R_ID_7.16_9_R1(1)_TSS	ACDM	1	1	1	0	0	1	0	0	4	F7	2
c09w20D4	9	R_ID_7.16_9_R1(1)_TSS	ACDGIMOT	1	1	1	1	1	1	1	1	8	D4	20
c09w3E8	9	R_ID_7.16_9_R1(1)_TSS	GIOT	0	0	0	1	1	0	1	1	4	E8	3
c09w5F7	9	R_ID_7.16_9_R1(1)_TSS		0	0	0	0	0	0	0	0	0	F7	5
c09w6B3	9	R_ID_7.16_9_R1(1)_TSS	O	0	0	0	0	0	0	1	0	1	B3	6
c09w6C2	9	R_ID_7.16_9_R1(1)_TSS	C	0	1	0	0	0	0	0	0	1	C2	6
c09w6E7	9	R_ID_7.16_9_R1(1)_TSS	MO	0	0	0	0	0	1	1	0	2	E7	6
c09w6G2	9	R_ID_7.16_9_R1(1)_TSS	M	0	0	0	0	0	1	0	0	1	G2	6
c09w8E2	9	R_ID_7.16_9_R1(1)_TSS	AIMO	1	0	0	0	1	1	1	0	4	E2	8
c09w8F8	9	R_ID_7.16_9_R1(1)_TSS	GIOT	0	0	0	1	1	0	1	1	4	F8	8
c10w000	10	R_ID_7.16_10_R10(1)_TSS	Frozen Starting Community	NA	NA	NA	NA	NA	NA	NA	NA	NA	00	0
c10w1B2	10	R_ID_7.16_10_R10(1)_TSS	A	1	0	0	0	0	0	0	0	1	B2	1
c10w1C2	10	R_ID_7.16_10_R10(1)_TSS	C	0	1	0	0	0	0	0	0	1	C2	1
c10w11C3	10	R_ID_7.16_10_R10(1)_TSS	T	0	0	0	0	0	0	0	1	1	C3	11
c10w11D7	10	R_ID_7.16_10_R10(1)_TSS	IT	0	0	0	0	1	0	0	1	2	D7	11
c10w11G2	10	R_ID_7.16_10_R10(1)_TSS	M	0	0	0	0	0	1	0	0	1	G2	11
c10w16B3	10	R_ID_7.16_10_R10(1)_TSS	O	0	0	0	0	0	0	1	0	1	B3	16
c10w16C5	10	R_ID_7.16_10_R10(1)_TSS	CO	0	1	0	0	0	0	1	0	2	C5	16
c10w16D4	10	R_ID_7.16_10_R10(1)_TSS	AT	1	0	0	0	0	0	0	1	2	D4	16
c10w16G2	10	R_ID_7.16_10_R10(1)_TSS	M	0	0	0	0	0	1	0	0	1	G2	16
c10w18G6	10	R_ID_7.16_10_R10(1)_TSS	DGIT	0	0	1	1	1	0	0	1	4	G6	18
c10w2D9	10	R_ID_7.16_10_R10(1)_TSS	ACMO	1	1	0	0	0	1	1	0	4	D9	2
c10w20D4	10	R_ID_7.16_10_R10(1)_TSS	ACDGIMOT	1	1	1	1	1	1	1	1	8	D4	20
c10w3D5	10	R_ID_7.16_10_R10(1)_TSS	CGMO	0	1	0	1	0	1	1	0	4	D5	3
c10w6B5	10	R_ID_7.16_10_R10(1)_TSS	CM	0	1	0	0	0	1	0	0	2	B5	6
c10w6C2	10	R_ID_7.16_10_R10(1)_TSS	C	0	1	0	0	0	0	0	0	1	C2	6
c10w6D4	10	R_ID_7.16_10_R10(1)_TSS	AT	1	0	0	0	0	0	0	1	2	D4	6
c10w6E2	10	R_ID_7.16_10_R10(1)_TSS	G	0	0	0	1	0	0	0	0	1	E2	6
c10w6E5	10	R_ID_7.16_10_R10(1)_TSS	DG	0	0	1	1	0	0	0	0	2	E5	6
c10w6F2	10	R_ID_7.16_10_R10(1)_TSS	I	0	0	0	0	1	0	0	0	1	F2	6
