Community.number,Community.name,ChemCode,Amoxicillin,Chlorothalonil,Diflufenican,Glyphosate,Imidacloprid,Metaldehyde,Oxytetracycline,Tebuconazole,Well,Plate,Complexity,Plate.sample,Well.sample,Pyramid,PCR.plate,PCR.well.coord
4,R_ID_7.16_6_R5(1)_TSS,AO,1,0,0,0,0,0,1,0,C4,1,2,6,6 C4,2,2,H4
4,R_ID_7.16_6_R5(1)_TSS,D,0,0,1,0,0,0,0,0,D2,1,1,6,6 D2,1,2,H5
4,R_ID_7.16_6_R5(1)_TSS,G,0,0,0,1,0,0,0,0,E2,1,1,6,6 E2,1,2,H6
4,R_ID_7.16_6_R5(1)_TSS,DG,0,0,1,1,0,0,0,0,E5,1,2,6,6 E5,2,2,H7
4,R_ID_7.16_6_R5(1)_TSS,CDOT,0,1,1,0,0,0,1,1,F4,3,4,8,8 F4,1,2,H8
4,R_ID_7.16_6_R5(1)_TSS,DGIT,0,0,1,1,1,0,0,1,G6,3,4,8,8 G6,2,2,H9
,Extraction negative control,,,,,,,,,,,,,,,,2,H10
,,,,,,,,,,,,,,,,,2,H11
,,,,,,,,,,,,,,,,,2,H12
5,R_ID_7.16_7_R1(1)_TSS,Frozen Starting Community,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,A1
5,R_ID_7.16_7_R1(1)_TSS,A,1,0,0,0,0,0,0,0,B2,1,1,1,1 B2,1,3,A2
5,R_ID_7.16_7_R1(1)_TSS,O,0,0,0,0,0,0,1,0,B3,1,1,1,1 B3,1,3,A3
5,R_ID_7.16_7_R1(1)_TSS,C,0,1,0,0,0,0,0,0,C2,1,1,1,1 C2,1,3,A4
5,R_ID_7.16_7_R1(1)_TSS,CO,0,1,0,0,0,0,1,0,C5,1,2,1,1 C5,2,3,A5
5,R_ID_7.16_7_R1(1)_TSS,DT,0,0,1,0,0,0,0,1,C6,1,2,1,1 C6,2,3,A6
5,R_ID_7.16_7_R1(1)_TSS,IO,0,0,0,0,1,0,1,0,C7,1,2,1,1 C7,1,3,A7
5,R_ID_7.16_7_R1(1)_TSS,G,0,0,0,1,0,0,0,0,E2,1,1,1,1 E2,1,3,A8
5,R_ID_7.16_7_R1(1)_TSS,I,0,0,0,0,1,0,0,0,F2,1,1,1,1 F2,1,3,A9
5,R_ID_7.16_7_R1(1)_TSS,AG,1,0,0,1,0,0,0,0,F3,1,2,1,1 F3,2,3,A10
5,R_ID_7.16_7_R1(1)_TSS,M,0,0,0,0,0,1,0,0,G2,1,1,1,1 G2,1,3,A11
5,R_ID_7.16_7_R1(1)_TSS,GT,0,0,0,1,0,0,0,1,G6,1,2,1,1 G6,1,3,A12
5,R_ID_7.16_7_R1(1)_TSS,,0,0,0,0,0,0,0,0,G11,5,0,10,10 G11,NA,3,B1
5,R_ID_7.16_7_R1(1)_TSS,O,0,0,0,0,0,0,1,0,B3,1,1,11,11 B3,1,3,B2
5,R_ID_7.16_7_R1(1)_TSS,CM,0,1,0,0,0,1,0,0,B5,1,2,11,11 B5,1,3,B3
5,R_ID_7.16_7_R1(1)_TSS,T,0,0,0,0,0,0,0,1,C3,1,1,11,11 C3,1,3,B4
5,R_ID_7.16_7_R1(1)_TSS,DT,0,0,1,0,0,0,0,1,C6,1,2,11,11 C6,2,3,B5
5,R_ID_7.16_7_R1(1)_TSS,IO,0,0,0,0,1,0,1,0,C7,1,2,11,11 C7,1,3,B6
5,R_ID_7.16_7_R1(1)_TSS,AG,1,0,0,1,0,0,0,0,F3,1,2,11,11 F3,2,3,B7
5,R_ID_7.16_7_R1(1)_TSS,M,0,0,0,0,0,1,0,0,G2,1,1,11,11 G2,1,3,B8
5,R_ID_7.16_7_R1(1)_TSS,GT,0,0,0,1,0,0,0,1,G6,1,2,11,11 G6,1,3,B9
5,R_ID_7.16_7_R1(1)_TSS,ADIO,1,0,1,0,1,0,1,0,F10,2,4,12,12 F10,1,3,B10
5,R_ID_7.16_7_R1(1)_TSS,CGMT,0,1,0,1,0,1,0,1,E5,3,4,13,13 E5,1,3,B11
5,R_ID_7.16_7_R1(1)_TSS,,0,0,0,0,0,0,0,0,B7,5,0,15,15 B7,NA,3,B12
5,R_ID_7.16_7_R1(1)_TSS,ACDGIMOT,1,1,1,1,1,1,1,1,D4,5,8,15,15 D4,1,3,C1
5,R_ID_7.16_7_R1(1)_TSS,A,1,0,0,0,0,0,0,0,B2,1,1,16,16 B2,1,3,C2
5,R_ID_7.16_7_R1(1)_TSS,IM,0,0,0,0,1,1,0,0,B7,1,2,16,16 B7,2,3,C3
5,R_ID_7.16_7_R1(1)_TSS,D,0,0,1,0,0,0,0,0,D2,1,1,16,16 D2,1,3,C4
5,R_ID_7.16_7_R1(1)_TSS,AD,1,0,1,0,0,0,0,0,E3,1,2,16,16 E3,1,3,C5
