"PlateTrue","Rep","Community","Amoxicillin","Chlorothalonil","Diflufenican","Glyphosate","Imidacloprid","Metaldehyde","Oxytetracycline","Tebuconazole","Complexity","PlateWell","TruePlateWell","AUC"
6,2,"R_ID_7.16_10_R10(1)_TSS",1,0,1,0,1,0,0,0,3,"1C9","6C9",20.1659276145926
11,3,"R_ID_7.16_10_R10(1)_TSS",1,0,1,0,1,0,0,0,3,"1C9","11C9",20.2622572339581
16,4,"R_ID_7.16_10_R10(1)_TSS",1,0,1,0,1,0,0,0,3,"1C9","16C9",20.0712903998406
1,1,"R_ID_7.16_10_R10(1)_TSS",1,0,0,1,0,0,0,1,3,"1D10","1D10",20.6993898494738
6,2,"R_ID_7.16_10_R10(1)_TSS",1,0,0,1,0,0,0,1,3,"1D10","6D10",20.2204898954831
11,3,"R_ID_7.16_10_R10(1)_TSS",1,0,0,1,0,0,0,1,3,"1D10","11D10",20.059327025549
16,4,"R_ID_7.16_10_R10(1)_TSS",1,0,0,1,0,0,0,1,3,"1D10","16D10",20.1104306053741
1,1,"R_ID_7.16_10_R10(1)_TSS",1,0,0,0,0,0,1,1,3,"1D11","1D11",22.5389712340726
6,2,"R_ID_7.16_10_R10(1)_TSS",1,0,0,0,0,0,1,1,3,"1D11","6D11",21.6743614560508
11,3,"R_ID_7.16_10_R10(1)_TSS",1,0,0,0,0,0,1,1,3,"1D11","11D11",21.6349198425864
16,4,"R_ID_7.16_10_R10(1)_TSS",1,0,0,0,0,0,1,1,3,"1D11","16D11",21.604356828704
1,1,"R_ID_7.16_10_R10(1)_TSS",0,0,1,0,0,0,0,0,1,"1D2","1D2",20.9195518700844
6,2,"R_ID_7.16_10_R10(1)_TSS",0,0,1,0,0,0,0,0,1,"1D2","6D2",20.4622681351083
11,3,"R_ID_7.16_10_R10(1)_TSS",0,0,1,0,0,0,0,0,1,"1D2","11D2",20.4048719399504
16,4,"R_ID_7.16_10_R10(1)_TSS",0,0,1,0,0,0,0,0,1,"1D2","16D2",19.94892780209
1,1,"R_ID_7.16_10_R10(1)_TSS",1,1,0,0,0,0,0,0,2,"1D3","1D3",19.1098119311144
6,2,"R_ID_7.16_10_R10(1)_TSS",1,1,0,0,0,0,0,0,2,"1D3","6D3",19.0647712901737
11,3,"R_ID_7.16_10_R10(1)_TSS",1,1,0,0,0,0,0,0,2,"1D3","11D3",19.3660291436663
16,4,"R_ID_7.16_10_R10(1)_TSS",1,1,0,0,0,0,0,0,2,"1D3","16D3",18.5737188885268
1,1,"R_ID_7.16_10_R10(1)_TSS",1,0,0,0,0,0,0,1,2,"1D4","1D4",19.935565808977
6,2,"R_ID_7.16_10_R10(1)_TSS",1,0,0,0,0,0,0,1,2,"1D4","6D4",19.8425131522642
11,3,"R_ID_7.16_10_R10(1)_TSS",1,0,0,0,0,0,0,1,2,"1D4","11D4",20.0943301244053
16,4,"R_ID_7.16_10_R10(1)_TSS",1,0,0,0,0,0,0,1,2,"1D4","16D4",19.6415164934064
1,1,"R_ID_7.16_10_R10(1)_TSS",0,1,0,0,0,0,0,1,2,"1D5","1D5",19.3790625177606
6,2,"R_ID_7.16_10_R10(1)_TSS",0,1,0,0,0,0,0,1,2,"1D5","6D5",19.3680691066595
11,3,"R_ID_7.16_10_R10(1)_TSS",0,1,0,0,0,0,0,1,2,"1D5","11D5",19.6691591614608
16,4,"R_ID_7.16_10_R10(1)_TSS",0,1,0,0,0,0,0,1,2,"1D5","16D5",19.3004806881397
1,1,"R_ID_7.16_10_R10(1)_TSS",0,0,0,1,1,0,0,0,2,"1D6","1D6",20.5049139361944
6,2,"R_ID_7.16_10_R10(1)_TSS",0,0,0,1,1,0,0,0,2,"1D6","6D6",20.4358382131287
11,3,"R_ID_7.16_10_R10(1)_TSS",0,0,0,1,1,0,0,0,2,"1D6","11D6",20.4117590882861
16,4,"R_ID_7.16_10_R10(1)_TSS",0,0,0,1,1,0,0,0,2,"1D6","16D6",20.1448909454433
1,1,"R_ID_7.16_10_R10(1)_TSS",0,0,0,0,1,0,0,1,2,"1D7","1D7",20.4205655177238
6,2,"R_ID_7.16_10_R10(1)_TSS",0,0,0,0,1,0,0,1,2,"1D7","6D7",19.9535503534749
11,3,"R_ID_7.16_10_R10(1)_TSS",0,0,0,0,1,0,0,1,2,"1D7","11D7",20.0158841545293
16,4,"R_ID_7.16_10_R10(1)_TSS",0,0,0,0,1,0,0,1,2,"1D7","16D7",20.0136348959062
1,1,"R_ID_7.16_10_R10(1)_TSS",1,1,0,0,1,0,0,0,3,"1D8","1D8",20.2439157508585
6,2,"R_ID_7.16_10_R10(1)_TSS",1,1,0,0,1,0,0,0,3,"1D8","6D8",19.4383264086537
11,3,"R_ID_7.16_10_R10(1)_TSS",1,1,0,0,1,0,0,0,3,"1D8","11D8",19.7024433809832
16,4,"R_ID_7.16_10_R10(1)_TSS",1,1,0,0,1,0,0,0,3,"1D8","16D8",19.4987634451293
1,1,"R_ID_7.16_10_R10(1)_TSS",1,0,1,0,0,1,0,0,3,"1D9","1D9",20.491881156055
6,2,"R_ID_7.16_10_R10(1)_TSS",1,0,1,0,0,1,0,0,3,"1D9","6D9",20.0502858584154
11,3,"R_ID_7.16_10_R10(1)_TSS",1,0,1,0,0,1,0,0,3,"1D9","11D9",20.1368535831431
16,4,"R_ID_7.16_10_R10(1)_TSS",1,0,1,0,0,1,0,0,3,"1D9","16D9",20.0788516732178
1,1,"R_ID_7.16_10_R10(1)_TSS",1,0,0,0,1,1,0,0,3,"1E10","1E10",20.981344562162
6,2,"R_ID_7.16_10_R10(1)_TSS",1,0,0,0,1,1,0,0,3,"1E10","6E10",20.4026763067675
