"","Amoxicillin","Chlorothalonil","Diflufenican","Glyphosate","Imidacloprid","Metaldehyde","Oxytetracycline","Tebuconazole","Well","Plate","Complexity","ChemCode"
"177",0,0,1,1,1,0,0,1,"G6",3,4,"DGIT"
"178",0,0,1,0,1,0,1,1,"G7",3,4,"DIOT"
"179",0,0,0,0,1,1,1,1,"G8",3,4,"IMOT"
"180",1,1,1,0,1,0,1,0,"G9",3,5,"ACDIO"
"181",1,1,0,1,1,1,1,0,"B10",4,6,"ACGIMO"
"182",1,0,1,1,1,1,0,1,"B11",4,6,"ADGIMT"
"183",1,1,0,0,1,0,1,1,"B2",4,5,"ACIOT"
"184",1,0,1,1,0,1,0,1,"B3",4,5,"ADGMT"
"185",1,0,0,1,1,1,1,0,"B4",4,5,"AGIMO"
"186",0,1,1,1,1,0,1,0,"B5",4,5,"CDGIO"
"187",0,1,1,0,1,1,0,1,"B6",4,5,"CDIMT"
"188",0,1,0,1,0,1,1,1,"B7",4,5,"CGMOT"
"189",0,0,1,0,1,1,1,1,"B8",4,5,"DIMOT"
"190",1,1,1,1,0,1,0,1,"B9",4,6,"ACDGMT"
"191",1,1,0,1,1,1,0,1,"C10",4,6,"ACGIMT"
"192",1,0,1,1,1,0,1,1,"C11",4,6,"ADGIOT"
"193",1,1,0,0,0,1,1,1,"C2",4,5,"ACMOT"
"194",1,0,1,1,0,0,1,1,"C3",4,5,"ADGOT"
"195",1,0,0,1,1,1,0,1,"C4",4,5,"AGIMT"
"196",0,1,1,1,1,0,0,1,"C5",4,5,"CDGIT"
"197",0,1,1,0,1,0,1,1,"C6",4,5,"CDIOT"
"198",0,1,0,0,1,1,1,1,"C7",4,5,"CIMOT"
"199",0,0,0,1,1,1,1,1,"C8",4,5,"GIMOT"
"200",1,1,1,1,0,0,1,1,"C9",4,6,"ACDGOT"
"201",1,1,0,1,1,0,1,1,"D10",4,6,"ACGIOT"
"202",1,0,1,1,0,1,1,1,"D11",4,6,"ADGMOT"
"203",1,0,1,1,1,1,0,0,"D2",4,5,"ADGIM"
"204",1,0,1,0,1,1,1,0,"D3",4,5,"ADIMO"
"205",1,0,0,1,1,0,1,1,"D4",4,5,"AGIOT"
"206",0,1,1,1,0,1,1,0,"D5",4,5,"CDGMO"
"207",0,1,1,0,0,1,1,1,"D6",4,5,"CDMOT"
"208",0,0,1,1,1,1,1,0,"D7",4,5,"DGIMO"
"209",1,1,1,1,1,1,0,0,"D8",4,6,"ACDGIM"
"210",1,1,1,0,1,1,1,0,"D9",4,6,"ACDIMO"
"211",1,1,0,1,0,1,1,1,"E10",4,6,"ACGMOT"
"212",1,0,1,0,1,1,1,1,"E11",4,6,"ADIMOT"
"213",1,0,1,1,1,0,1,0,"E2",4,5,"ADGIO"
"214",1,0,1,0,1,1,0,1,"E3",4,5,"ADIMT"
"215",1,0,0,1,0,1,1,1,"E4",4,5,"AGMOT"
"216",0,1,1,1,0,1,0,1,"E5",4,5,"CDGMT"
"217",0,1,0,1,1,1,1,0,"E6",4,5,"CGIMO"
"218",0,0,1,1,1,1,0,1,"E7",4,5,"DGIMT"
"219",1,1,1,1,1,0,1,0,"E8",4,6,"ACDGIO"
"220",1,1,1,0,1,1,0,1,"E9",4,6,"ACDIMT"
"221",1,1,0,0,1,1,1,1,"F10",4,6,"ACIMOT"
"222",1,0,0,1,1,1,1,1,"F11",4,6,"AGIMOT"
"223",1,0,1,1,1,0,0,1,"F2",4,5,"ADGIT"
"224",1,0,1,0,1,0,1,1,"F3",4,5,"ADIOT"
"225",1,0,0,0,1,1,1,1,"F4",4,5,"AIMOT"
"226",0,1,1,1,0,0,1,1,"F5",4,5,"CDGOT"
"227",0,1,0,1,1,1,0,1,"F6",4,5,"CGIMT"
"228",0,0,1,1,1,0,1,1,"F7",4,5,"DGIOT"
"229",1,1,1,1,1,0,0,1,"F8",4,6,"ACDGIT"
"230",1,1,1,0,1,0,1,1,"F9",4,6,"ACDIOT"
"231",1,0,1,1,1,1,1,0,"G10",4,6,"ADGIMO"
"232",0,1,1,1,1,1,1,0,"G11",4,6,"CDGIMO"
"233",1,0,1,1,0,1,1,0,"G2",4,5,"ADGMO"
"234",1,0,1,0,0,1,1,1,"G3",4,5,"ADMOT"
"235",0,1,1,1,1,1,0,0,"G4",4,5,"CDGIM"
"236",0,1,1,0,1,1,1,0,"G5",4,5,"CDIMO"
"237",0,1,0,1,1,0,1,1,"G6",4,5,"CGIOT"
"238",0,0,1,1,0,1,1,1,"G7",4,5,"DGMOT"
"239",1,1,1,1,0,1,1,0,"G8",4,6,"ACDGMO"
"240",1,1,1,0,0,1,1,1,"G9",4,6,"ACDMOT"
"241",0,1,1,1,1,1,0,1,"B2",5,6,"CDGIMT"
"242",1,1,1,1,1,1,1,0,"B3",5,7,"ACDGIMO"
"243",1,0,1,1,1,1,1,1,"B4",5,7,"ADGIMOT"
"244",0,1,1,1,1,0,1,1,"C2",5,6,"CDGIOT"
"245",1,1,1,1,1,1,0,1,"C3",5,7,"ACDGIMT"
"246",0,1,1,1,1,1,1,1,"C4",5,7,"CDGIMOT"
"247",0,1,1,1,0,1,1,1,"D2",5,6,"CDGMOT"
"248",1,1,1,1,1,0,1,1,"D3",5,7,"ACDGIOT"
"249",1,1,1,1,1,1,1,1,"D4",5,8,"ACDGIMOT"
"250",0,1,1,0,1,1,1,1,"E2",5,6,"CDIMOT"
"251",1,1,1,1,0,1,1,1,"E3",5,7,"ACDGMOT"
"252",0,1,0,1,1,1,1,1,"F2",5,6,"CGIMOT"
"253",1,1,1,0,1,1,1,1,"F3",5,7,"ACDIMOT"
"254",0,0,1,1,1,1,1,1,"G2",5,6,"DGIMOT"
"255",1,1,0,1,1,1,1,1,"G3",5,7,"ACGIMOT"
"256",0,0,0,0,0,0,0,0,"B5",5,0,""
"257",0,0,0,0,0,0,0,0,"B6",5,0,""
"258",0,0,0,0,0,0,0,0,"B7",5,0,""
"259",0,0,0,0,0,0,0,0,"B8",5,0,""
"260",0,0,0,0,0,0,0,0,"B9",5,0,""
"261",0,0,0,0,0,0,0,0,"B10",5,0,""
"262",0,0,0,0,0,0,0,0,"B11",5,0,""
"263",0,0,0,0,0,0,0,0,"C5",5,0,""
"264",0,0,0,0,0,0,0,0,"C6",5,0,""
"265",0,0,0,0,0,0,0,0,"C7",5,0,""
"266",0,0,0,0,0,0,0,0,"C8",5,0,""
"267",0,0,0,0,0,0,0,0,"C9",5,0,""
"268",0,0,0,0,0,0,0,0,"C10",5,0,""
"269",0,0,0,0,0,0,0,0,"C11",5,0,""
"270",0,0,0,0,0,0,0,0,"D5",5,0,""
"271",0,0,0,0,0,0,0,0,"D6",5,0,""
"272",0,0,0,0,0,0,0,0,"D7",5,0,""
"273",0,0,0,0,0,0,0,0,"D8",5,0,""
"274",0,0,0,0,0,0,0,0,"D9",5,0,""
"275",0,0,0,0,0,0,0,0,"D10",5,0,""
"276",0,0,0,0,0,0,0,0,"D11",5,0,""
"277",0,0,0,0,0,0,0,0,"E4",5,0,""
"278",0,0,0,0,0,0,0,0,"E5",5,0,""
"279",0,0,0,0,0,0,0,0,"E6",5,0,""
"280",0,0,0,0,0,0,0,0,"E7",5,0,""
"281",0,0,0,0,0,0,0,0,"E8",5,0,""
"282",0,0,0,0,0,0,0,0,"E9",5,0,""
"283",0,0,0,0,0,0,0,0,"E10",5,0,""
"284",0,0,0,0,0,0,0,0,"E11",5,0,""
"285",0,0,0,0,0,0,0,0,"F4",5,0,""
"286",0,0,0,0,0,0,0,0,"F5",5,0,""
"287",0,0,0,0,0,0,0,0,"F6",5,0,""
"288",0,0,0,0,0,0,0,0,"F7",5,0,""
"289",0,0,0,0,0,0,0,0,"F8",5,0,""
"290",0,0,0,0,0,0,0,0,"F9",5,0,""
"291",0,0,0,0,0,0,0,0,"F10",5,0,""
"292",0,0,0,0,0,0,0,0,"F11",5,0,""
"293",0,0,0,0,0,0,0,0,"G4",5,0,""
"294",0,0,0,0,0,0,0,0,"G5",5,0,""
"295",0,0,0,0,0,0,0,0,"G6",5,0,""
"296",0,0,0,0,0,0,0,0,"G7",5,0,""
"297",0,0,0,0,0,0,0,0,"G8",5,0,""
"298",0,0,0,0,0,0,0,0,"G9",5,0,""
"299",0,0,0,0,0,0,0,0,"G10",5,0,""
"300",0,0,0,0,0,0,0,0,"G11",5,0,""
